method,seed,well,probe,level,S_mean,S_sd,n,R
gnn,0,W10,neighbor,0.05,0.058280,0.027666,1680,30
gnn,0,W10,neighbor,0.1,0.058223,0.027646,1680,30
gnn,0,W10,neighbor,0.25,0.057938,0.026986,1680,30
gnn,0,W10,neighbor,0.5,0.057159,0.025429,1680,30
gnn,0,W06,colog,0.05,0.514127,0.146478,1500,30
gnn,0,W06,colog,0.1,0.513451,0.146125,1500,30
gnn,0,W06,colog,0.25,0.513173,0.144219,1500,30
gnn,0,W06,colog,0.5,0.508924,0.137567,1500,30
gnn,0,W06,neighbor,0.05,0.057122,0.021809,1500,30
gnn,0,W06,neighbor,0.1,0.057098,0.021704,1500,30
gnn,0,W06,neighbor,0.25,0.057336,0.021075,1500,30
gnn,0,W06,neighbor,0.5,0.057809,0.019595,1500,30
gnn,0,W08,colog,0.05,0.584336,0.089024,810,30
gnn,0,W08,colog,0.1,0.583762,0.090818,810,30
gnn,0,W08,colog,0.25,0.581159,0.090051,810,30
gnn,0,W08,colog,0.5,0.573176,0.087575,810,30
gnn,0,W08,neighbor,0.05,0.057660,0.018052,810,30
gnn,0,W08,neighbor,0.1,0.057584,0.018240,810,30
gnn,0,W08,neighbor,0.25,0.056941,0.018078,810,30
gnn,0,W08,neighbor,0.5,0.055284,0.018339,810,30
gnn,0,W09,colog,0.05,0.520228,0.111518,510,30
gnn,0,W09,colog,0.1,0.520316,0.114155,510,30
gnn,0,W09,colog,0.25,0.517447,0.109768,510,30
gnn,0,W09,colog,0.5,0.516628,0.110239,510,30
gnn,0,W09,neighbor,0.05,0.063690,0.029721,510,30
gnn,0,W09,neighbor,0.1,0.063785,0.029679,510,30
gnn,0,W09,neighbor,0.25,0.063683,0.029046,510,30
gnn,0,W09,neighbor,0.5,0.064377,0.027328,510,30
gnn,1,W01,colog,0.05,0.567711,0.123946,7110,30
gnn,1,W01,colog,0.1,0.567480,0.123841,7110,30
gnn,1,W01,colog,0.25,0.566908,0.122300,7110,30
gnn,1,W01,colog,0.5,0.563396,0.116620,7110,30
gnn,1,W01,neighbor,0.05,0.063136,0.029252,6900,30
gnn,1,W01,neighbor,0.1,0.063135,0.029178,6900,30
gnn,1,W01,neighbor,0.25,0.063488,0.028816,6900,30
gnn,1,W01,neighbor,0.5,0.064496,0.027808,6900,30
gnn,1,W04,colog,0.05,0.568158,0.094691,4530,30
gnn,1,W04,colog,0.1,0.567569,0.094022,4530,30
gnn,1,W04,colog,0.25,0.567128,0.092826,4530,30
gnn,1,W04,colog,0.5,0.563918,0.087813,4530,30
gnn,1,W04,neighbor,0.05,0.048942,0.021315,4530,30
gnn,1,W04,neighbor,0.1,0.049088,0.021268,4530,30
gnn,1,W04,neighbor,0.25,0.049566,0.020632,4530,30
gnn,1,W04,neighbor,0.5,0.051036,0.019065,4530,30
gnn,1,W02,colog,0.05,0.571267,0.068920,2040,30
gnn,1,W02,colog,0.1,0.570100,0.069039,2040,30
gnn,1,W02,colog,0.25,0.567487,0.067471,2040,30
gnn,1,W02,colog,0.5,0.558733,0.063602,2040,30
gnn,1,W02,neighbor,0.05,0.068462,0.038805,2040,30
gnn,1,W02,neighbor,0.1,0.068663,0.038817,2040,30
gnn,1,W02,neighbor,0.25,0.068659,0.038283,2040,30
gnn,1,W02,neighbor,0.5,0.069701,0.037465,2040,30
gnn,1,W03,colog,0.05,0.578688,0.070005,1740,30
gnn,1,W03,colog,0.1,0.577222,0.069184,1740,30
gnn,1,W03,colog,0.25,0.575195,0.069008,1740,30
gnn,1,W03,colog,0.5,0.568515,0.062391,1740,30
gnn,1,W03,neighbor,0.05,0.052805,0.022053,1740,30
gnn,1,W03,neighbor,0.1,0.052893,0.022238,1740,30
gnn,1,W03,neighbor,0.25,0.052928,0.022360,1740,30
gnn,1,W03,neighbor,0.5,0.053546,0.023425,1740,30
gnn,1,W10,colog,0.05,0.527640,0.118086,1680,30
gnn,1,W10,colog,0.1,0.526923,0.116940,1680,30
gnn,1,W10,colog,0.25,0.525654,0.115658,1680,30
gnn,1,W10,colog,0.5,0.524016,0.111402,1680,30
gnn,1,W10,neighbor,0.05,0.059303,0.019695,1680,30
gnn,1,W10,neighbor,0.1,0.059471,0.019784,1680,30
gnn,1,W10,neighbor,0.25,0.059244,0.019261,1680,30
gnn,1,W10,neighbor,0.5,0.058659,0.018264,1680,30
gnn,1,W06,colog,0.05,0.536940,0.155434,1500,30
gnn,1,W06,colog,0.1,0.536806,0.154732,1500,30
gnn,1,W06,colog,0.25,0.536812,0.152023,1500,30
gnn,1,W06,colog,0.5,0.535547,0.144462,1500,30
gnn,1,W06,neighbor,0.05,0.052906,0.020888,1500,30
gnn,1,W06,neighbor,0.1,0.052930,0.020941,1500,30
gnn,1,W06,neighbor,0.25,0.053174,0.020673,1500,30
gnn,1,W06,neighbor,0.5,0.053995,0.019785,1500,30
gnn,1,W08,colog,0.05,0.597900,0.118104,810,30
gnn,1,W08,colog,0.1,0.597806,0.118836,810,30
gnn,1,W08,colog,0.25,0.595486,0.116836,810,30
