well,regime,L,method,seed,log,r2,mae,rmse,n
W04,blackout-long,1536,ae,0,all_z,0.1268,0.8581,1.0395,3072
W04,blackout-long,2048,ae,0,RHOB,-0.1364,0.1389,0.1724,2048
W04,blackout-long,2048,ae,0,NPHI,0.1307,0.0844,0.1015,2048
W04,blackout-long,2048,ae,0,all,0.9835,0.1117,0.1414,4096
W04,blackout-long,2048,ae,0,all_z,0.2051,0.8940,1.0952,4096
W01,profile-long,256,ae,1,GR,0.3211,16.3744,21.2774,256
W01,profile-long,256,ae,1,RHOB,-1.3436,0.0470,0.0557,256
W01,profile-long,256,ae,1,NPHI,0.3808,0.0503,0.0626,256
W01,profile-long,256,ae,1,all,0.8767,5.4906,12.2846,768
W01,profile-long,256,ae,1,all_z,0.3368,0.4085,0.5268,768
W01,profile-long,384,ae,1,GR,0.3968,17.1033,20.3533,384
W01,profile-long,384,ae,1,RHOB,-0.9345,0.0453,0.0565,384
W01,profile-long,384,ae,1,NPHI,0.4378,0.0532,0.0621,384
W01,profile-long,384,ae,1,all,0.8809,5.7340,11.7511,1152
W01,profile-long,384,ae,1,all_z,0.4070,0.4211,0.5159,1152
W01,profile-long,512,ae,1,GR,0.2944,16.8999,21.3496,512
W01,profile-long,512,ae,1,RHOB,-1.0258,0.0463,0.0573,512
W01,profile-long,512,ae,1,NPHI,0.3293,0.0518,0.0648,512
W01,profile-long,512,ae,1,all,0.8674,5.6660,12.3263,1536
W01,profile-long,512,ae,1,all_z,0.3096,0.4169,0.5377,1536
W01,profile-long,768,ae,1,GR,0.2670,18.4124,22.7819,768
W01,profile-long,768,ae,1,RHOB,0.0240,0.0441,0.0539,768
W01,profile-long,768,ae,1,NPHI,0.4706,0.0470,0.0600,768
W01,profile-long,768,ae,1,all,0.8249,6.1678,13.1532,2304
W01,profile-long,768,ae,1,all_z,0.4440,0.4116,0.5328,2304
W01,profile-long,1024,ae,1,GR,0.4109,18.0181,22.1185,1024
W01,profile-long,1024,ae,1,RHOB,0.2161,0.0476,0.0597,1024
W01,profile-long,1024,ae,1,NPHI,0.5454,0.0475,0.0610,1024
W01,profile-long,1024,ae,1,all,0.8298,6.0377,12.7702,3072
W01,profile-long,1024,ae,1,all_z,0.5362,0.4162,0.5357,3072
W01,profile-long,1536,ae,1,GR,0.1840,22.8824,27.7387,1536
W01,profile-long,1536,ae,1,RHOB,-0.2587,0.0572,0.0713,1536
W01,profile-long,1536,ae,1,NPHI,0.2030,0.0609,0.0747,1536
W01,profile-long,1536,ae,1,all,0.6783,7.6668,16.0151,4608
W01,profile-long,1536,ae,1,all_z,0.3283,0.5239,0.6611,4608
W01,profile-long,2048,ae,1,GR,-0.2080,25.7939,32.3823,2048
W01,profile-long,2048,ae,1,RHOB,-0.4614,0.0623,0.0766,2048
W01,profile-long,2048,ae,1,NPHI,0.1354,0.0600,0.0741,2048
W01,profile-long,2048,ae,1,all,0.5104,8.6387,18.6960,6144
W01,profile-long,2048,ae,1,all_z,0.2187,0.5590,0.7208,6144
W01,blackout-long,256,ae,1,RHOB,-3.0229,0.0608,0.0730,256
W01,blackout-long,256,ae,1,NPHI,0.0071,0.0705,0.0792,256
W01,blackout-long,256,ae,1,all,0.9958,0.0656,0.0762,512
W01,blackout-long,256,ae,1,all_z,-0.1026,0.5160,0.6149,512
W01,blackout-long,384,ae,1,RHOB,-2.9907,0.0687,0.0811,384
W01,blackout-long,384,ae,1,NPHI,0.2355,0.0614,0.0724,384
W01,blackout-long,384,ae,1,all,0.9957,0.0651,0.0769,768
W01,blackout-long,384,ae,1,all_z,0.0838,0.4963,0.5943,768
W01,blackout-long,512,ae,1,RHOB,-4.0588,0.0759,0.0905,512
W01,blackout-long,512,ae,1,NPHI,-0.0712,0.0680,0.0819,512
W01,blackout-long,512,ae,1,all,0.9946,0.0719,0.0863,1024
W01,blackout-long,512,ae,1,all_z,-0.2561,0.5489,0.6696,1024
W01,blackout-long,768,ae,1,RHOB,-3.2196,0.0926,0.1120,768
W01,blackout-long,768,ae,1,NPHI,0.1519,0.0637,0.0760,768
W01,blackout-long,768,ae,1,all,0.9935,0.0781,0.0957,1536
W01,blackout-long,768,ae,1,all_z,-0.0119,0.5782,0.6950,1536
W01,blackout-long,1024,ae,1,RHOB,-1.6092,0.0906,0.1090,1024
W01,blackout-long,1024,ae,1,NPHI,0.3475,0.0619,0.0731,1024
W01,blackout-long,1024,ae,1,all,0.9940,0.0763,0.0928,2048
W01,blackout-long,1024,ae,1,all_z,0.2335,0.5637,0.6718,2048
W01,blackout-long,1536,ae,1,RHOB,-1.4760,0.0860,0.1000,1536
