seed,method,scenario,fold,log,mae,rmse,r2,cc,n
4,brits,profile,8,all,33.05565467935566,57.16196281721411,0.3511785503904764,0.8913113235666384,3328
4,brits,profile,8,GR,71.47232336302598,84.13991989705943,-1.9554023467548287,0.3168444080744756,1536
4,brits,profile,8,RHOB,0.1486211743205786,0.19999303924480252,-0.2022527899124955,0.19303196739610576,1280
4,brits,profile,8,NPHI,0.07323239093238954,0.08124880058118251,-0.6877801420613114,-0.48681614267374834,512
4,brits,blackout,8,all,19.826057160440676,43.026973620691386,0.4895441570510801,0.9055683953558377,4760
4,brits,blackout,8,GR,63.34920402742782,77.05944307442796,-1.5966280551205645,0.305309027528649,1484
4,brits,blackout,8,RHOB,0.13518283967344855,0.15973162811566888,-0.9800358625527124,0.21042572855062222,1871
4,brits,blackout,8,NPHI,0.07749908467310604,0.0905555546389246,-1.3623212158403515,0.1668180059891927,1405
4,brits,single,9,all,0.6086218405928877,1.4984724695232636,0.9987647915929541,0.9996565078452759,90
4,brits,single,9,GR,1.8171528498331706,2.595363455510022,0.9975654606615957,0.9997040682084503,30
4,brits,single,9,RHOB,0.0044849634170532225,0.00623998941097735,0.9972395014082344,0.9991462610412837,20
4,brits,single,9,NPHI,0.004292022250592708,0.01553547348707317,0.9778455745561495,0.9895040434143008,40
4,brits,block,9,all,11.17655168816207,18.866015726918455,0.5765506626655592,0.8540466935634062,1240
4,brits,block,9,GR,25.51132384406196,28.588265835870782,-0.13285904636743617,0.5961772961923321,540
4,brits,block,9,RHOB,0.14296064138412476,0.16031466852649473,-0.6056874762867461,0.4452767940756138,300
4,brits,block,9,NPHI,0.09980256278067827,0.11381495009878792,-1.2515262573545627,0.5412575440379854,400
4,brits,profile,9,all,12.286169122662008,23.198963603913434,0.5104769165556401,0.755665062367107,4608
4,brits,profile,9,GR,31.39297587743827,37.20059605961939,-0.11308355365210376,0.17590168094562156,1792
4,brits,profile,9,RHOB,0.14141530636698008,0.167985459922164,-0.5137836248226197,-0.6926035509432183,2304
4,brits,profile,9,NPHI,0.06373765427269973,0.07077765574495345,0.11364637129039956,0.9313070145206535,512
4,brits,blackout,9,all,13.59714548513155,29.17017160990124,0.6004640061695328,0.8101567149372683,6464
4,brits,blackout,9,GR,39.90160767614407,50.09183683557066,-0.0029956786857827655,0.39344768607769115,2192
4,brits,blackout,9,RHOB,0.11791379633543264,0.13624010129054706,-0.23082698871983331,0.36982855777695745,2282
4,brits,blackout,9,NPHI,0.07967090781160335,0.09793554691626272,0.20471481948028614,0.5729276745478432,1990
4,brits,single,10,all,0.7783445300534367,2.9707713718464843,0.9863339627770902,0.9933528925711561,120
4,brits,single,10,GR,2.6461602347237725,5.500763300152975,0.9677649925607051,0.9843460340664473,35
4,brits,single,10,RHOB,0.009948703220912389,0.012656665048227055,0.9886076135785619,0.9945312347398079,35
4,brits,single,10,NPHI,0.008750615566968918,0.012967352942711466,0.9807183759827899,0.9906445236061798,50
4,brits,block,10,all,16.79248550325632,26.35647890342337,0.5501334024074778,0.7438337066966204,1600
4,brits,block,10,GR,36.242517533173434,38.75525112496701,0.20249240561189052,0.5678807730987473,740
4,brits,block,10,RHOB,0.060873113572597504,0.09084605752845651,0.18057723013469207,0.4516124921173517,320
4,brits,block,10,NPHI,0.05376747096026385,0.06533269185911394,0.5202224955691597,0.8318325757336424,540
4,brits,profile,10,all,12.732035156954225,22.694981284553847,0.5679813660497512,0.7550954788487806,6144
4,brits,profile,10,GR,33.770723563101555,37.060239881092066,0.06003554930349364,0.3683872643971224,2304
4,brits,profile,10,RHOB,0.1179936148154621,0.1600081400742054,-0.22446126569709168,-0.44751863122584584,3328
4,brits,profile,10,NPHI,0.04920735319319647,0.058982580619285976,0.31688581356057033,0.8583341599046185,512
4,brits,blackout,10,all,11.377201300175749,21.373019128529435,0.6809529784557641,0.8406146233047931,8561
4,brits,blackout,10,GR,30.782294331789394,35.22903930982884,0.10845260518138267,0.49158241957395366,3151
4,brits,blackout,10,RHOB,0.08695902562266244,0.1203388585906184,0.11487331975545378,0.373296022887464,2865
4,brits,blackout,10,NPHI,0.061325454981247425,0.07605500452314838,0.30569945452794534,0.6243935182559985,2545
4,brits,single,11,all,0.10885937673350175,0.2557767505420173,0.9991305215063538,0.9995966129548488,60
4,brits,single,11,GR,0.43030776977539065,0.5115384065280731,0.9969353114929436,0.9997781923834351,15
4,brits,single,11,RHOB,0.0014087835947672526,0.001882697874318871,0.9995427098576927,0.9997763898547483,15
4,brits,single,11,NPHI,0.0018604767819245657,0.0024391152870748066,0.9989214539983109,0.99958235285129,30
4,brits,block,11,all,20.84057387771085,29.540590709742276,-12.975876658258192,0.6879309305083638,800
4,brits,block,11,GR,37.849017615751784,39.83248457966553,-27.117571776099442,0.07352075185685253,440
4,brits,block,11,RHOB,0.05359361538520226,0.06468807493870889,0.41737153154934925,0.7358319262753007,260
4,brits,block,11,NPHI,0.04957011237740517,0.05544140063307434,-1.5364365145097012,0.7635616302340186,100
4,brits,profile,11,all,18.247579972281528,28.94886604533858,-10.031065141576956,0.6711466427443183,3072
4,brits,profile,11,GR,43.677249094843866,44.84723688607084,-19.40893496208574,-0.01071942819608761,1280
4,brits,profile,11,RHOB,0.08178874272853136,0.09767867982897009,-0.09356200528195813,0.15652312119729384,1280
4,brits,profile,11,NPHI,0.08788523975817952,0.10285069822951735,-1.092015376349368,0.8929397826284289,512
4,brits,blackout,11,all,12.424956721624588,22.4023274688565,-9.16634855647172,0.7549339466926325,4560
4,brits,blackout,11,GR,38.01574955732032,39.26957294075385,-23.622136928597442,0.05947680586342257,1484
4,brits,blackout,11,RHOB,0.07964422073569717,0.08974241472759446,0.21040525782276298,0.5433565452452653,1671
4,brits,blackout,11,NPHI,0.07782549088641842,0.09315446483865343,-0.794871955426641,0.5075494244341537,1405
4,brits,single,12,all,0.38923338153238957,1.415411895630995,0.9965722456316412,0.9984237495567547,290
4,brits,single,12,GR,1.24707703060574,2.5407146884607976,0.9858987660562889,0.9939838559451603,90
4,brits,single,12,RHOB,0.0033002726236979166,0.004335878519128979,0.9990629603122009,0.9995443202518378,75
4,brits,single,12,NPHI,0.003145819544792175,0.009436280008675158,0.9926089089699094,0.9963717913098167,125
4,brits,block,12,all,9.863643336415022,17.49343494686463,0.5321566914804186,0.865123553081097,3320
4,brits,block,12,GR,22.933470842871866,26.748062992373505,-0.5540945701312734,0.4450486410926737,1420
4,brits,block,12,RHOB,0.13120906236379043,0.17925063199006486,-0.2949236863851614,0.5043664678421823,920
4,brits,block,12,NPHI,0.06230096188278831,0.07904230988715086,0.36862894901706944,0.8135735219166562,980
4,brits,profile,12,all,9.653534022830767,18.43619584244239,0.3719908426869163,0.8315688900077929,14848
4,brits,profile,12,GR,26.37800409077179,30.637756542498547,-0.9068113188707807,0.3526346079014547,5376
4,brits,profile,12,RHOB,0.20265582853928207,0.2530707785431931,-1.3646131648952822,-0.26190058869275556,6400
4,brits,profile,12,NPHI,0.0750409753745771,0.0897350693940832,0.08282475262138433,0.8529505487120729,3072
4,brits,blackout,12,all,7.74229485875455,15.572269000829861,0.5105318067152562,0.8655003247325054,18850
4,brits,blackout,12,GR,22.94505411084058,26.962882539206916,-0.7608840144108253,0.3141212119657098,6287
4,brits,blackout,12,RHOB,0.1916260241811408,0.23989129277011634,-0.9486586420669183,0.34094048901958873,5862
4,brits,blackout,12,NPHI,0.08407568108024144,0.10482840274478765,-0.08624372462360252,0.49718533980787827,6701
4,brits,single,13,all,0.39876336726546285,1.573564981445786,0.9980926718933051,0.9991232722287615,250
4,brits,single,13,GR,1.163658119650448,2.6986215593259,0.9913164941815825,0.9960195695481198,85
4,brits,single,13,RHOB,0.006015287912808932,0.009901432270623595,0.9946613969813544,0.997876061923533,65
4,brits,single,13,NPHI,0.0038890793174505235,0.005346003812746195,0.9957524066062047,0.9983640386363979,100
4,brits,block,13,all,11.891625142656267,20.158130276599692,0.7588852590260146,0.8963086946243892,3000
4,brits,block,13,GR,25.3960295350211,29.508303737584672,0.06802675082031584,0.5480432246596633,1400
4,brits,block,13,RHOB,0.10257556346746591,0.12162770485078751,-1.5744593155499889,-0.11499101350650857,780
4,brits,block,13,NPHI,0.04929895053004346,0.06173028294247756,0.5445890774600533,0.798584202007569,820
4,brits,profile,13,all,9.823848845459871,22.280661997728064,0.6599141147606661,0.8354645447766186,12800
4,brits,profile,13,GR,30.467106538359076,39.386566568247495,-0.199643655760378,-0.1613687151942498,4096
4,brits,profile,13,RHOB,0.12150257657808454,0.14323078317012186,-0.907784604374656,-0.3726518106123983,5888
4,brits,profile,13,NPHI,0.08401621799566783,0.0939487160012729,0.019404754974608474,0.466642066712161,2816
4,brits,blackout,13,all,9.726997253895506,20.81547625402679,0.7220368201668133,0.8955747267243771,16161
4,brits,blackout,13,GR,28.096124663801582,35.49097738830928,-0.2675279096226333,0.31258457994991684,5559
4,brits,blackout,13,RHOB,0.10336027697784131,0.12124392063974547,-0.6769162462901057,0.2309197896291566,4998
4,brits,blackout,13,NPHI,0.0883388561379433,0.10434120163007186,0.04237887947584429,0.3449680989774487,5604
4,brits,single,14,all,0.16939694789739757,0.33531963289211875,0.9995371732156562,0.9999243442049103,65
4,brits,single,14,GR,0.5474285125732422,0.6044995146968831,0.9970279811798449,0.9997522096470871,20
4,brits,single,14,RHOB,0.0019890626271565756,0.002278347839130464,0.9994114481480044,0.9998646984174198,15
4,brits,single,14,NPHI,0.0010798474152882893,0.001638340424123041,0.9987302079365551,0.9993869763694234,30
4,brits,block,14,all,15.363726973185937,22.599695125351868,-0.42128379499322643,0.8005301102671651,900
4,brits,block,14,GR,25.555623990518075,29.17599408584555,-2.4938509170934005,0.3460813521027899,540
4,brits,block,14,RHOB,0.08701960673699012,0.09724157300340741,-1.3242765949499136,0.7084046654101491,260
4,brits,block,14,NPHI,0.04692223235964775,0.05277862385000265,-0.447535370398471,0.8480008258695434,100
4,brits,profile,14,all,14.149621393903194,22.537134945034232,-0.8754704068318762,0.8337460692670998,3328
4,brits,profile,14,GR,30.505291334042948,33.1733874524218,-4.857603045918707,0.28751118541267867,1536
4,brits,profile,14,RHOB,0.14148702919483186,0.15944770719708404,-1.9059111501121717,-0.1731927784620084,1280
