method,scenario,log,seed,mae,rmse,r2,cc,n
unet,single,RHOB,0,0.050193361441294354,0.06658681932901322,0.7831461054695322,0.909113760991442,1200
unet,single,NPHI,0,0.03295615103391244,0.04319611102322758,0.8107312986312314,0.9103491119690569,1286
unet,block,all,0,5.862884273309727,14.332240698780454,0.7811428024198861,0.8849608247579948,50120
unet,block,GR,0,18.51433694931456,25.55855032972036,0.4849341526558222,0.7059921486768795,15760
unet,block,RHOB,0,0.07445967861301991,0.10448219254890194,0.5314292367163932,0.7660869299278125,18100
unet,block,NPHI,0,0.043916929532002845,0.05747747609849774,0.663463393764832,0.8190187447086126,16260
unet,profile,all,0,5.498383081461938,14.455587895695666,0.7567816864593697,0.8707521534791872,205312
unet,profile,GR,0,19.024891321199096,26.993162861391006,0.3918282162862585,0.639032410621426,58880
unet,profile,RHOB,0,0.07215784043309433,0.1013447308125828,0.5866483862642644,0.7835904968388645,80896
unet,profile,NPHI,0,0.043657616718064673,0.056115199355496054,0.69627209255294,0.8369768713907018,65536
unet,blackout,all,0,9.054673675967571,19.94589865832216,0.6098923732845641,0.784557654158404,273685
unet,blackout,GR,0,25.91422402226985,33.85257037301225,0.09568235166173966,0.39015373440718215,95009
unet,blackout,RHOB,0,0.11110801904194945,0.1456803561304919,0.1023295117282148,0.39434345527666054,87543
unet,blackout,NPHI,0,0.06931765183148945,0.08705643469947748,0.27656115967973716,0.5499095477713272,91133
xgb,single,all,0,8.613986103929186,19.189710233917854,0.6784050424616744,0.827830427775352,3963
xgb,single,GR,0,23.018442944892776,31.433159702150764,0.2732794420484761,0.5445843325861004,1477
xgb,single,RHOB,0,0.06814093252023061,0.0915323862347367,0.590229910597659,0.7754592485482252,1200
xgb,single,NPHI,0,0.04449267592570783,0.059188972978054886,0.644637895196992,0.8064830519931317,1286
xgb,block,all,0,7.164273321671829,16.89232925819794,0.6959733015601552,0.8395945698342733,50120
xgb,block,GR,0,22.651830318676033,30.124018047646288,0.2844893246290532,0.5567821265122461,15760
xgb,block,RHOB,0,0.07371475321811866,0.10710816530534702,0.507579877168772,0.7322437275937772,18100
xgb,block,NPHI,0,0.045897664613151166,0.06073284662616596,0.6242627894541748,0.79359685330468,16260
xgb,profile,all,0,6.495128566544545,16.481877741890813,0.6838172794264087,0.8385836716929489,205312
xgb,profile,GR,0,22.49730504738248,30.776958124437893,0.20937579828919184,0.521095816079254,58880
xgb,profile,RHOB,0,0.0734891991729294,0.10342926041001335,0.5694692963975138,0.7645624874362446,80896
xgb,profile,NPHI,0,0.04488422864105246,0.059109302220951246,0.6629957770856183,0.8173933960958213,65536
xgb,blackout,all,0,21.35960117657197,42.93196029932546,-0.8073350160322024,0.6776411645906879,273685
xgb,blackout,GR,0,61.05499564275742,72.86443602805227,-3.189564904869526,0.023766945900085972,95009
xgb,blackout,RHOB,0,0.3508398146002015,0.42712143704514005,-6.716452670083171,0.03919558169519976,87543
xgb,blackout,NPHI,0,0.15707589015850681,0.18622188758947011,-2.310255503555686,0.2519440369032423,91133
ae,single,all,1,4.953487289285755,12.062279674165554,0.8424933222777423,0.921238139835898,3981
ae,single,GR,1,16.45643474479232,22.0897606484422,0.5763974252791177,0.7808403305804669,1187
ae,single,RHOB,1,0.07772441551526879,0.1114120197287298,0.5310952184869042,0.739323926610548,1294
ae,single,NPHI,1,0.05697964193423589,0.07414308055383899,0.49630046717862086,0.7214480364198071,1500
ae,block,all,1,5.7649864692769395,13.518439641362422,0.8139126018061206,0.9037199117334116,48360
ae,block,GR,1,17.74818971802855,23.8165204243402,0.5505403233544627,0.7574652175283586,15580
ae,block,RHOB,1,0.08408043925688964,0.12018824367394638,0.4586326977944858,0.6952901574327655,14980
ae,block,NPHI,1,0.05721488018425998,0.07341263399204677,0.48400289062559754,0.720334039982039,17800
ae,profile,all,1,7.984141721901573,18.84822243250316,0.6182226521021796,0.8018038297639036,205312
ae,profile,GR,1,25.346217101016844,33.69118345148256,0.08138228579943008,0.464967794585504,64256
