seed,method,scenario,fold,log,r2,mae
0,brits,blackout,5,NPHI,0.155922,0.078749
0,brits,blackout,5,RHOB,-0.389632,0.139148
0,brits,blackout,5,all,0.481894,7.671524
0,brits,blackout,6,GR,-2.345605,12.000678
0,brits,blackout,6,NPHI,-8.793163,0.132682
0,brits,blackout,6,RHOB,-0.638365,0.082028
0,brits,blackout,6,all,0.846026,5.216488
0,brits,blackout,7,GR,-21.668209,41.136269
0,brits,blackout,7,NPHI,-4.741508,0.118244
0,brits,blackout,7,RHOB,-0.109507,0.070429
0,brits,blackout,7,all,-8.210493,17.539312
0,brits,blackout,8,GR,-1.603757,62.140663
0,brits,blackout,8,NPHI,-0.490572,0.048243
0,brits,blackout,8,RHOB,-0.260886,0.149193
0,brits,blackout,8,all,0.459507,25.352163
0,brits,blackout,9,GR,0.094969,35.321423
0,brits,blackout,9,NPHI,0.288119,0.073197
0,brits,blackout,9,RHOB,-0.041282,0.111796
0,brits,blackout,9,all,0.583729,13.638630
0,brits,blackout,10,GR,0.136928,32.840385
0,brits,blackout,10,NPHI,0.254549,0.062530
0,brits,blackout,10,RHOB,0.166178,0.089027
0,brits,blackout,10,all,0.611773,12.771892
0,brits,blackout,11,GR,-14.107026,36.948051
0,brits,blackout,11,NPHI,-1.108552,0.084167
0,brits,blackout,11,RHOB,0.091575,0.077790
0,brits,blackout,11,all,-6.054576,15.429777
0,brits,blackout,12,GR,-0.764108,23.859951
0,brits,blackout,12,NPHI,-0.292111,0.090018
0,brits,blackout,12,RHOB,-0.948928,0.174388
0,brits,blackout,12,all,0.463106,8.598955
0,brits,blackout,13,GR,-0.115698,29.686701
0,brits,blackout,13,NPHI,0.039073,0.086942
0,brits,blackout,13,RHOB,-0.080207,0.107021
0,brits,blackout,13,all,0.712876,10.566772
0,brits,blackout,14,GR,-4.690155,27.950993
0,brits,blackout,14,NPHI,-1.972480,0.085259
0,brits,blackout,14,RHOB,-0.569113,0.101661
0,brits,blackout,14,all,-0.698599,11.434191
0,brits,blackout,15,GR,-0.101873,21.948195
0,brits,blackout,15,NPHI,0.193196,0.078817
0,brits,blackout,15,RHOB,-0.199505,0.088034
0,brits,blackout,15,all,0.586484,8.483530
0,brits,blackout,16,GR,-41.137459,30.888979
0,brits,blackout,16,NPHI,,
0,brits,blackout,16,RHOB,0.408430,0.033826
0,brits,blackout,16,all,-11.859555,15.461401
0,brits,blackout,17,GR,0.142954,28.885643
0,brits,blackout,17,NPHI,0.055074,0.070113
0,brits,blackout,17,RHOB,-0.079004,0.084037
0,brits,blackout,17,all,0.624607,9.355216
0,brits,blackout,18,GR,-1.230700,41.631462
0,brits,blackout,18,NPHI,-0.385529,0.084200
0,brits,blackout,18,RHOB,0.080301,0.095147
0,brits,blackout,18,all,0.628402,15.753418
0,brits,block,0,GR,0.252050,29.033230
0,brits,block,0,NPHI,-1.249846,0.048805
0,brits,block,0,RHOB,-0.088871,0.092221
0,brits,block,0,all,0.655615,11.757222
0,brits,block,1,GR,-0.757957,17.313545
0,brits,block,1,NPHI,-51.357944,0.102179
0,brits,block,1,RHOB,,
0,brits,block,1,all,0.874766,8.707863
