method,scenario,log,n_seeds,pooledR2_mean,pooledR2_std,pooledR2_ci_low,pooledR2_ci_high,perfoldMedianR2_mean,perfoldMedianR2_std
ae,block,RHOB,5,0.4825,0.0414,0.4311,0.5339,0.0467,0.1333
ae,block,NPHI,5,0.5019,0.0210,0.4758,0.5281,0.0434,0.1413
ae,profile,all,5,0.6232,0.0183,0.6005,0.6460,0.5014,0.0505
ae,profile,GR,5,0.0766,0.0382,0.0291,0.1241,-0.9299,0.4155
ae,profile,RHOB,5,0.3505,0.0298,0.3135,0.3875,-0.1437,0.0770
ae,profile,NPHI,5,0.4090,0.0323,0.3689,0.4492,0.1116,0.0910
ae,blackout,all,5,0.7673,0.0126,0.7516,0.7830,0.7312,0.0209
ae,blackout,GR,5,0.4560,0.0255,0.4244,0.4876,-0.1655,0.0655
ae,blackout,RHOB,5,0.3606,0.0295,0.3239,0.3973,-0.0684,0.0420
ae,blackout,NPHI,5,0.3752,0.0237,0.3457,0.4046,0.0821,0.0896
gnn,single,all,5,0.7306,0.0321,0.6908,0.7705,0.7296,0.0377
gnn,single,GR,5,0.3403,0.0396,0.2911,0.3895,-0.1250,0.1092
gnn,single,RHOB,5,0.5412,0.0340,0.4990,0.5834,0.3595,0.0425
gnn,single,NPHI,5,0.4778,0.0747,0.3851,0.5705,0.2835,0.0646
gnn,block,all,5,0.7105,0.0297,0.6737,0.7473,0.6954,0.0438
gnn,block,GR,5,0.3198,0.0778,0.2232,0.4163,-0.2058,0.1264
gnn,block,RHOB,5,0.5592,0.0260,0.5269,0.5915,0.2866,0.0964
gnn,block,NPHI,5,0.4442,0.0596,0.3702,0.5182,0.1873,0.1600
gnn,profile,all,5,0.7208,0.0131,0.7046,0.7370,0.7005,0.0696
gnn,profile,GR,5,0.3150,0.0450,0.2592,0.3708,-0.1892,0.1732
gnn,profile,RHOB,5,0.5662,0.0410,0.5153,0.6172,0.3039,0.0458
gnn,profile,NPHI,5,0.4342,0.0416,0.3825,0.4859,0.2974,0.0635
gnn,blackout,all,5,0.6364,0.0093,0.6248,0.6479,0.6359,0.0142
gnn,blackout,GR,5,0.1497,0.0196,0.1255,0.1740,-0.4751,0.0537
gnn,blackout,RHOB,5,0.1374,0.0386,0.0895,0.1852,-0.0467,0.0728
gnn,blackout,NPHI,5,-0.1482,0.0497,-0.2099,-0.0866,-0.5139,0.1160
stgnn,single,all,5,0.8321,0.0268,0.7989,0.8653,0.8319,0.0216
stgnn,single,GR,5,0.5876,0.0611,0.5117,0.6634,0.2474,0.1398
stgnn,single,RHOB,5,0.6473,0.0322,0.6073,0.6873,0.4950,0.0777
stgnn,single,NPHI,5,0.5515,0.1138,0.4102,0.6928,0.4894,0.0661
stgnn,block,all,5,0.7248,0.0479,0.6653,0.7843,0.7158,0.0442
stgnn,block,GR,5,0.3536,0.1188,0.2061,0.5011,-0.0878,0.1478
stgnn,block,RHOB,5,0.5358,0.0219,0.5086,0.5630,0.3330,0.1015
stgnn,block,NPHI,5,0.4761,0.0529,0.4104,0.5418,0.3057,0.1003
stgnn,profile,all,5,0.7385,0.0277,0.7041,0.7728,0.7050,0.0656
stgnn,profile,GR,5,0.3603,0.0429,0.3070,0.4136,-0.0739,0.1759
stgnn,profile,RHOB,5,0.5131,0.0656,0.4317,0.5945,0.3027,0.0844
stgnn,profile,NPHI,5,0.4829,0.0473,0.4242,0.5417,0.2755,0.0355
stgnn,blackout,all,5,0.6228,0.0233,0.5938,0.6517,0.6344,0.0302
stgnn,blackout,GR,5,0.1175,0.0637,0.0384,0.1966,-0.6506,0.2291
stgnn,blackout,RHOB,5,0.0597,0.0852,-0.0461,0.1656,-0.1105,0.1035
stgnn,blackout,NPHI,5,-0.1623,0.0723,-0.2520,-0.0725,-0.4123,0.0614
