method,scenario,log,n_seeds,mae_mean,mae_std,mae_ci,rmse_mean,rmse_std,rmse_ci,r2_mean,r2_std,r2_ci,cc_mean,cc_std,cc_ci
mean,block,NPHI,5,0.08618748092930016,0.0009201166864442916,0.0008065178355835478,0.10260648511536585,0.001109105795993467,0.0009721740939995192,-0.04858431028449828,0.005354575749964358,0.00469349258409615,-0.2677164139332653,0.03503703047332526,0.03071131129229007
mice,block,NPHI,5,0.04443220768076974,0.0008372078682870787,0.0007338450522767385,0.058007910771093595,0.0016089228837185897,0.0014102830879115043,0.6645674890641902,0.019565925176723068,0.017150289585228327,0.8166000551339833,0.013585051517622961,0.011907822679126715
rf,block,NPHI,5,0.04879467147979165,0.0010496780424155844,0.0009200833712734204,0.06453926640896539,0.0015398337532886554,0.001349723794989613,0.5848490587821634,0.021618826377162524,0.018949736826255555,0.77658118474189,0.012619707987992649,0.011061661767600676
saits,block,NPHI,5,0.054161571997680034,0.0006520290990263125,0.0005715287043824644,0.06924946782353973,0.0010767811260375955,0.0009438402715258621,0.522403824382288,0.005408917488206066,0.004741125217819942,0.782824132931729,0.0060765461847540015,0.005326327572310561
stgnn,block,NPHI,5,0.05515764256677151,0.00311065784251623,0.0027266118171187775,0.0724476292109345,0.003824781344865881,0.0033525686657877246,0.47613128453616305,0.05290820924494419,0.04637609015627538,0.7056622849219204,0.02969688384084726,0.02603046638731541
unet,block,NPHI,5,0.042024086170550735,0.0018958037307368553,0.0016617452374587238,0.05618907978999251,0.003228937782829098,0.0028302887559891396,0.684343404107833,0.039623616172518486,0.03473163091623565,0.835678449282576,0.020267147846367496,0.017764938355450344
xgb,block,NPHI,5,0.044614399027093424,0.0012023111379195711,0.001053872178321368,0.059338926983997495,0.0017621125350281766,0.001544559737632373,0.6489090569269106,0.023314097860997564,0.020435707799299013,0.8094201489384147,0.014187511449740219,0.012435902093004882
ae,block,RHOB,5,0.07911875076302688,0.003303673624301405,0.002895797609369129,0.11074076287143146,0.006651398390109495,0.005830207746721258,0.4824768759173466,0.04137751323965535,0.036268989478756626,0.7157887841110663,0.0272226316485056,0.023861688717858306
brits,block,RHOB,5,0.10654944055685159,0.004440887249461253,0.0038926093019213113,0.14090277066333415,0.006990869474322823,0.006127767271634308,0.16246205566507155,0.048728736498605076,0.042712620769273964,0.4167320285773849,0.06856087263309497,0.060096254547287696
gnn,block,RHOB,5,0.0740239168362647,0.0038734267680047376,0.003395208259177353,0.1022513097759288,0.005899428766410326,0.005171077310043596,0.5592090927960115,0.026021046376778108,0.022808452789306977,0.7504514616430106,0.017154892781553757,0.01503692651125966
